Year,Region,Rural/Urban,Positive,Tested
2021,Arusha,Rural,14,96
2021,Geita,Rural,52,108
2021,Dar es salaam,Rural,14,84
2021,Dar es salaam,Rural,14,72
2021,Mtwara,Rural,8,120
2021,Dar es salaam,Rural,1,108
2021,Manyara,Urban,14,96
2021,Tanga,Urban,26,76
2021,Mara,Urban,2,84
2021,Mara,Rural,11,84
2021,Pwani,Rural,3,102
2021,Kagera,Urban,2,120
2021,Simiyu,Urban,14,96
2021,Kigoma,Rural,7,84
2021,Mara,Rural,36,111
2021,Manyara,Urban,1,101
2021,Morogoro,Rural,3,108
2021,Dar es salaam,Rural,14,84
2021,Geita,Rural,45,87
2021,Mwanza,Rural,50,100
2021,Geita,Rural,41,92
2021,Tabora,Rural,28,84
2021,Mara,Rural,42,100
2021,Simiyu,Rural,18,98
2021,Mwanza,Rural,21,84
2021,Mwanza,Rural,18,120
2021,Mwanza,Rural,8,108
2021,Morogoro,Rural,14,84
2021,Kigoma,Rural,3,108
2021,Kagera,Rural,5,96
2021,Shinyanga,Rural,41,82
2021,Mtwara,Urban,5,109
2021,Mwanza,Urban,1,96
2021,Geita,Rural,44,84
2021,Kagera,Rural,5,108
2021,Dar es salaam,Rural,14,120
2021,Dar es salaam,Rural,14,105
2021,Geita,Rural,35,88
2021,Manyara,Rural,14,106
2021,Dar es salaam,Rural,14,120
2021,Geita,Rural,40,120
2021,Kagera,Rural,46,96
2021,Tabora,Rural,32,78
2021,Simiyu,Rural,14,94
2021,Kagera,Rural,17,84
2021,Dodoma,Urban,14,120
2021,Mbeya,Rural,1,120
2021,Dar es salaam,Rural,14,84
2021,Dodoma,Rural,14,120
2021,Rukwa,Urban,1,84
2021,Tabora,Rural,40,120
2021,Mtwara,Rural,4,109
2021,Dodoma,Rural,14,113
2021,Dodoma,Rural,14,120
2021,Morogoro,Rural,28,122
2021,Songwe,Rural,27,108
2021,Mtwara,Rural,5,82
2021,Lindi,Rural,25,80
2021,Songwe,Urban,14,84
2021,Tabora,Rural,3,96
2021,Dodoma,Rural,2,80
2021,Kagera,Rural,1,84
2021,Mara,Rural,18,100
2021,Songwe,Rural,2,106
2021,Lindi,Rural,43,107
2021,Dar es salaam,Rural,14,120
2021,Morogoro,Rural,5,118
2021,Kilimanjaro,Urban,14,108
2021,Singida,Rural,14,94
2021,Manyara,Rural,14,108
2021,Arusha,Urban,14,95
2021,Arusha,Rural,14,88
2021,Manyara,Rural,14,120
2021,Manyara,Rural,14,72
2021,Manyara,Rural,14,108
2021,Singida,Rural,4,108
2021,Arusha,Rural,14,85
2021,Arusha,Urban,1,120
2021,Mwanza,Rural,1,60
2021,Iringa,Urban,14,111
2021,Mara,Rural,13,92
2021,Manyara,Rural,14,108
2021,Manyara,Rural,14,108
2021,Dar es salaam,Rural,14,120
2021,Dar es salaam,Rural,1,108
2021,Manyara,Rural,14,108
2021,Dar es salaam,Rural,14,120
2021,Mara,Urban,6,93
2021,Manyara,Urban,14,82
2021,Kigoma,Rural,23,108
2021,Pwani,Rural,47,96
2021,Dodoma,Rural,2,72
2021,Dar es salaam,Rural,14,96
2021,Dodoma,Rural,14,132
2021,Ruvuma,Rural,6,96
2021,Dodoma,Rural,14,96
2021,Kigoma,Rural,11,84
2021,Manyara,Urban,14,84
2021,Tabora,Rural,1,96
2021,Manyara,Rural,14,84
2021,Iringa,Urban,14,108
2021,Kilimanjaro,Rural,14,96
2021,Pwani,Rural,23,84
2021,Ruvuma,Rural,12,108
2021,Tanga,Rural,9,85
2021,Tabora,Rural,29,120
2021,Mwanza,Rural,14,120
2021,Mbeya,Rural,14,108
2021,Njombe,Rural,14,108
2021,Songwe,Rural,14,108
2021,Morogoro,Rural,14,108
2021,Njombe,Rural,1,84
2021,Iringa,Rural,14,108
2021,Simiyu,Rural,6,96
2021,Mbeya,Rural,14,96
2021,Morogoro,Urban,1,98
2021,Rukwa,Rural,1,108
2021,Iringa,Rural,14,96
2021,Njombe,Rural,14,108
2021,Mwanza,Urban,14,120
2021,Simiyu,Rural,5,100
2021,Dodoma,Rural,1,71
2021,Morogoro,Rural,44,109
2021,Dodoma,Rural,14,94
2021,Songwe,Rural,14,120
2021,Rukwa,Rural,2,108
2021,Songwe,Rural,14,84
2021,Rukwa,Rural,14,107
2021,Arusha,Rural,14,96
2021,Arusha,Rural,14,96
2021,Arusha,Rural,14,108
2021,Tabora,Rural,11,106
2021,Arusha,Rural,14,108
2021,Njombe,Rural,14,120
2021,Katavi,Rural,7,120
2021,Dodoma,Urban,14,72
2021,Songwe,Rural,14,120
2021,Shinyanga,Urban,2,72
2021,Dodoma,Rural,14,84
2021,Singida,Rural,14,96
2021,Mbeya,Rural,14,102
2021,Mwanza,Rural,14,96
2021,Simiyu,Rural,14,96
2021,Rukwa,Urban,14,108
2021,Tabora,Rural,44,116
2021,Tabora,Rural,21,108
2021,Shinyanga,Rural,19,71
2021,Geita,Rural,36,98
2021,Mbeya,Urban,14,108
2021,Tabora,Rural,5,96
2021,Singida,Urban,14,96
2021,Tabora,Rural,32,96
2021,Kigoma,Rural,1,96
2021,Songwe,Rural,14,108
2021,Njombe,Rural,14,84
2021,Geita,Rural,25,96
2021,Dodoma,Urban,14,84
2021,Mbeya,Rural,14,90
2021,Pwani,Urban,14,120
2021,Tanga,Rural,4,115
2021,Kigoma,Urban,14,132
2021,Kagera,Rural,23,84
2021,Shinyanga,Rural,44,94
2021,Mwanza,Rural,35,82
2021,Tabora,Rural,58,106
2021,Njombe,Urban,14,120
2021,Mwanza,Rural,28,108
2021,Mbeya,Rural,14,96
2021,Kigoma,Rural,22,96
2021,Mwanza,Rural,15,108
2021,Tabora,Rural,57,120
2021,Tabora,Urban,44,96
2021,Morogoro,Rural,37,120
2021,Dodoma,Urban,14,120
2021,Kilimanjaro,Rural,2,108
2021,Rukwa,Rural,69,108
2021,Morogoro,Rural,1,96
2021,Katavi,Rural,9,108
2021,Songwe,Rural,33,70
